frog_id,pop,source,birth_site,birth_type,birth_yr,death_date,age_yrs,EB,mass2,mass3,mass4,mass5,mass6,mass7,mass8,mass9,mass10,mass11,mass12,mass13
2019 WCEM02-04,VA,Elk,EK,Wild Caught,2019,NA,3,1,32.68,30.45,,,,,,,,,,
2019 WCEM02-05,VA,Elk,EK,Wild Caught,2019,NA,3,1,32.79,31.25,,,,,,,,,,
2019 WCEM03-01,VA,Semmihault,ST,Wild Caught,2019,NA,3,1,36.84,36.68,,,,,,,,,,
985153000292541,MS,Maria Slough,,Wild Caught,2009,,,,,75.80,,,69.1,,,,,,,
985153000293416,MS,Maria Slough,,Wild Caught,2004,,,,,,,,,37.5,,,38.1,,,
985153000294708,MS,Maria Slough,,Wild Caught,2009,,,,,59.50,,,,,,,,,,
985153000294889,MS,Maria Slough,,Wild Caught,2008,,,,,,33,,,,,,,,,
982000406276255,MV,Morris Valley,,Wild Caught,2014,,,,,24.40,,,,,,,,,,
982000406275172,MS,Maria Slough,,Wild Caught,2019,,,,39,,,,,,,,,,,
982000406275553,MS,Maria Slough,,Wild Caught,2019,,,,26.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
